Count,Date,CITY,viol2017,prop2017,violChan,propChan,longg,latt
58,12/30/12 15:00,Tilak Nagar,264.4295,1901.618,-124.0101,-160.8804,77.0867741,28.6390693
59,12/30/12 15:00,Trilokpuri,142.8235,2088.657,27.82485,-554.5688,77.3067772,28.6045961
60,12/30/12 15:00,Tri Nagar,265.1718,2398.262,-11.16354,-367.2227,77.1580929,28.6779655
61,12/30/12 12:00,Tughlakabad,188.5228,1861.143,-97.77411,-657.0201,77.2739385,28.5048843
62,12/30/12 11:40,Uttam Nagar,269.5912,2092.015,-225.6212,-407.0806,77.0715564,28.6186893
63,12/30/12 11:00,Vishwas Nagar,72.76154,1598.94,-23.63091,-137.6067,77.2961271,28.6613249
64,12/30/12 11:00,Vikaspuri,88.85162,2695.452,-17.42242,113.9587,77.0738028,28.6387532
65,12/30/12 9:00,Wazirpur,205.5064,1957.701,-10.45908,-249.946,77.1637899,28.7002168
66,12/30/12 8:20,Kirari,332.2736,926.1052,-255.5998,-1247.659,77.0478112,28.701638
67,12/30/12 8:20,Bijwasan,671.0105,2646.151,-39.31641,-161.2239,77.0557525,28.5349468
68,12/30/12 8:15,Noida,555.4822,4176.458,-164.4988,-307.6548,77.3910265,28.5355161
69,12/30/12 8:00,Faridabad,141.2043,2813.508,-78.94977,-113.5408,77.3177894,28.4089123
70,12/30/12 7:15,Gaziabad,368.5561,2236.154,45.03552,-149.5422,77.4537578,28.6691565
71,12/30/12 7:05,Shamli,442.1563,2264.941,74.95697,7.210693,77.3164681,29.4449945
72,12/30/12 6:47,Gurgaon,0.7,0.5,1,27.76,77.0266383,28.4594965
73,12/30/12 4:50,New Delhi,698.1865,3156.421,51.27362,-240.7102,77.2090212,28.6139391
